n,decomposable,all,percentage,time
3,7,8,87.5,0.8431916236877441
4,54,64,84.375,0.5021133422851562
5,561,1024,54.78515625,0.8201842308044434
6,22565,32768,68.8629150390625,5.9123375415802
7,786822,2097152,37.51859664916992,295.9520432949066
