n,decomposable,all,percentage,time
2,2,2,100.0,0.0020008087158203125
3,3,4,75.0,0.0010008811950683594
4,9,11,81.81818181818183,0.0029990673065185547
5,19,34,55.88235294117647,0.011003255844116211
6,109,156,69.87179487179486,0.06401467323303223
7,428,1044,40.99616858237548,0.5061147212982178
8,8465,12346,68.56471731734975,7.520698070526123
